지역,업종,사업체규모,연차휴가부여,연차휴가사용,연령대,성별,학력,직업,월평균소득구간
5,12,6,16,15,40대,1,4,3,4
12,1,4,19,19,30대,1,4,3,3
4,10,4,16,13,20대,2,1,3,3
3,11,3,15,2,40대,2,2,3,2
13,2,5,15,12,50대,1,3,3,3
14,1,5,16,3,30대,2,4,3,3
1,13,2,15,5,20대,2,4,3,2
9,2,2,0,0,50대,2,2,3,3
7,13,4,20,2,30대,2,4,3,2
1,12,5,22,22,20대,2,4,3,2
14,8,4,20,2,50대,2,2,3,4
2,13,6,16,10,40대,2,4,3,3
2,11,2,13,5,40대,2,2,3,2
12,16,4,15,8,50대,1,4,3,5
15,13,3,15,5,40대,2,2,3,3
3,2,2,0,0,50대,1,4,1,5
16,5,4,17,3,30대,2,4,3,3
1,14,3,16,10,20대,1,3,4,2
12,6,5,13,12,30대,1,4,3,3
13,2,5,18,15,30대,1,3,3,3
1,14,3,16,16,30대,2,3,2,3
14,10,2,15,5,30대,1,4,3,4
7,14,5,16,14,30대,1,4,4,3
1,9,6,14,12,30대,2,4,3,3
16,15,4,21,15,50대,1,4,1,4
3,8,4,0,0,40대,2,2,4,3
14,3,5,15,5,30대,1,4,3,3
9,6,5,16,16,30대,2,4,3,3
1,9,5,20,0,40대,2,4,3,3
6,11,2,25,14,40대,2,4,3,5
11,4,2,0,0,20대,2,3,3,2
8,16,2,0,0,40대,1,5,1,3
12,2,5,12,12,30대,2,4,5,5
9,7,3,21,21,30대,2,3,3,2
13,13,6,22,0,40대,2,2,3,3
1,12,6,15,11,20대,2,4,3,2
1,5,6,16,8,40대,1,4,3,4
9,14,6,15,10,30대,1,4,4,3
9,2,4,13,12,50대,2,2,3,3
3,2,3,15,0,30대,1,4,3,2
3,2,3,15,15,40대,2,3,3,3
12,13,5,15,12,30대,2,4,4,4
16,12,3,17,17,20대,1,4,7,3
1,9,6,18,18,60대,1,4,1,3
11,11,4,16,5,20대,2,3,3,4
16,8,2,0,0,50대,2,1,4,2
1,6,6,14,14,60대,1,4,5,3
9,1,2,15,10,30대,1,4,3,3
2,6,6,0,0,30대,1,4,3,6
16,5,6,18,6,40대,1,4,3,2
7,2,6,17,9,20대,2,4,3,3
4,4,2,0,0,40대,2,4,3,4
16,11,2,15,15,40대,2,2,3,2
9,8,2,0,0,50대,1,2,7,4
1,9,4,12,6,20대,1,4,3,3
12,2,6,15,10,30대,2,3,3,3
1,3,5,25,17,30대,2,4,3,3
11,9,3,11,9,30대,2,4,3,3
1,8,2,15,5,20대,1,2,4,3
2,2,4,10,2,30대,1,4,3,3
4,7,5,16,14,30대,1,2,3,3
6,7,6,18,12,40대,1,2,7,3
11,2,4,20,10,40대,2,4,7,3
1,14,2,20,15,20대,1,3,4,2
12,3,6,20,15,30대,2,4,3,2
12,2,4,15,15,30대,2,4,3,3
9,2,3,14,0,20대,1,3,8,3
9,14,6,15,4,30대,2,4,3,3
16,2,2,16,16,50대,1,2,7,4
1,9,6,21,10,30대,1,4,3,4
13,10,5,20,20,20대,1,4,3,2
3,14,2,15,8,30대,1,3,3,3
2,8,6,16,12,30대,2,2,4,2
5,2,3,15,5,30대,1,4,3,3
12,13,3,16,10,50대,1,4,3,3
1,9,6,17,12,30대,1,4,3,3
1,12,2,17,17,30대,2,3,3,3
3,11,3,15,3,50대,2,3,3,2
1,14,4,10,5,30대,2,3,2,2
1,15,3,22,22,50대,1,5,3,6
15,8,5,25,15,40대,1,4,4,4
1,9,6,25,22,30대,2,3,3,4
1,13,6,15,10,30대,2,4,3,2
3,15,3,16,16,40대,1,4,3,4
1,14,2,15,0,40대,2,3,4,2
7,2,6,15,10,30대,1,4,3,4
2,16,6,20,17,30대,1,4,4,3
15,10,2,17,3,30대,2,4,3,4
2,8,2,0,0,50대,2,2,4,3
4,13,2,15,5,50대,1,4,3,4
2,7,6,16,8,50대,1,1,3,5
1,16,4,15,11,40대,2,3,7,4
16,8,2,15,0,50대,2,1,4,3
1,13,6,15,5,20대,1,4,3,3
1,15,2,15,15,30대,2,4,3,3
10,9,4,15,6,20대,2,4,2,2
10,7,4,11,8,30대,1,2,3,4
9,8,3,15,5,20대,2,3,4,3
8,12,6,23,23,30대,1,4,3,3
9,8,4,15,10,20대,1,2,4,3
12,2,6,13,0,20대,2,4,3,4
4,2,3,9,9,60대,1,2,7,4
12,2,6,16,16,30대,1,4,3,4
1,8,3,16,10,20대,1,3,4,2
17,8,2,0,0,50대,2,1,4,2
16,5,3,0,0,40대,1,3,3,4
9,6,3,19,11,30대,2,3,3,2
13,4,5,10,0,20대,1,4,3,2
7,7,4,15,15,30대,2,4,3,2
10,3,2,21,19,50대,1,2,8,4
1,14,4,7,5,20대,2,3,4,2
1,5,3,0,0,60대,2,4,3,3
1,6,3,15,15,20대,2,4,3,2
1,6,2,16,9,30대,2,3,3,3
7,2,6,19,13,30대,2,4,3,3
3,2,2,0,0,20대,2,2,3,2
2,13,6,15,15,30대,2,4,3,3
15,5,4,15,0,50대,1,4,1,4
1,11,2,11,0,50대,1,3,3,2
15,8,2,0,0,20대,2,4,4,2
1,12,3,13,0,30대,2,4,3,3
3,4,3,15,1,40대,1,4,5,4
2,16,3,15,10,20대,2,4,4,2
10,9,5,21,10,20대,1,4,3,4
14,8,2,0,0,60대,2,1,9,2
1,2,3,16,0,20대,2,4,3,2
2,6,4,17,17,40대,2,3,3,4
2,15,3,21,10,30대,1,4,3,4
2,2,3,21,0,40대,1,3,7,3
16,10,4,15,12,20대,2,4,3,3
6,7,6,19,10,40대,1,2,3,4
3,14,3,18,18,30대,2,4,2,3
1,10,6,15,12,30대,2,4,3,2
1,16,2,15,12,30대,2,3,5,3
6,7,5,17,14,60대,2,1,4,5
9,9,2,0,0,20대,2,3,3,3
1,13,6,20,15,60대,1,4,3,3
4,13,5,15,14,30대,2,4,4,4
9,13,4,15,0,40대,1,4,3,3
5,5,3,0,0,30대,1,4,3,3
1,14,4,13,7,40대,2,2,2,3
9,10,4,21,10,30대,2,2,3,2
12,1,4,0,0,30대,2,3,3,3
14,5,5,15,7,40대,2,4,1,4
12,3,6,21,17,30대,2,4,3,3
3,11,2,15,15,40대,1,3,3,2
1,6,2,12,12,40대,2,2,4,3
3,2,2,0,0,40대,2,2,7,2
14,14,4,13,13,30대,2,4,3,2
2,6,6,15,10,30대,1,4,3,3
8,15,6,25,5,50대,1,3,4,4
1,6,3,15,15,30대,2,4,3,4
3,14,3,15,8,30대,2,4,2,3
1,7,4,22,22,50대,1,4,3,4
13,4,5,18,18,40대,2,3,3,2
16,1,2,0,0,50대,2,2,3,2
2,6,5,16,12,40대,2,4,4,2
4,10,3,17,0,40대,1,2,3,3
1,9,5,20,0,30대,2,4,3,3
6,16,4,16,0,30대,2,4,3,3
1,5,6,0,0,40대,1,4,3,4
2,9,5,15,5,30대,2,4,3,3
9,2,4,15,15,20대,2,4,3,3
6,12,3,10,10,20대,2,4,3,2
11,13,3,15,7,60대,1,4,3,3
10,4,3,14,10,30대,1,4,3,2
9,9,3,13,5,40대,1,4,3,4
4,2,3,0,0,50대,2,2,3,2
1,12,2,0,0,50대,1,4,3,3
4,10,3,20,0,20대,2,4,3,4
5,10,6,15,12,30대,2,3,4,4
5,10,2,20,13,30대,2,4,3,5
2,2,6,16,14,30대,2,3,3,4
16,14,3,20,20,30대,2,4,4,2
14,11,4,15,2,40대,2,2,1,3
16,8,2,0,0,40대,2,2,4,3
1,7,5,15,6,20대,1,4,3,5
2,6,6,19,13,40대,1,4,3,6
2,7,6,16,5,50대,1,1,4,4
1,5,6,0,0,20대,2,2,3,2
2,10,3,19,0,40대,2,4,3,5
2,13,4,15,0,40대,1,4,1,4
9,6,4,11,8,30대,1,4,5,2
11,15,4,14,12,30대,1,4,3,3
1,15,2,15,15,50대,1,4,3,4
1,6,5,17,17,50대,2,4,4,4
1,9,6,18,15,50대,2,4,3,5
5,13,5,20,2,30대,1,4,3,3
10,1,2,22,5,30대,2,2,3,3
12,10,4,22,12,20대,1,2,3,2
9,7,4,23,7,40대,1,4,3,4
2,8,6,20,7,30대,1,2,4,2
17,5,3,0,0,30대,2,2,3,2
13,10,5,20,18,30대,2,3,3,4
9,2,4,23,3,40대,2,2,3,5
1,14,3,5,5,30대,2,3,2,2
1,8,6,23,22,20대,1,4,4,2
1,13,6,16,16,30대,1,4,3,3
9,2,4,22,17,40대,2,3,3,4
13,4,2,22,22,40대,1,4,3,5
1,14,5,15,15,20대,2,3,4,2
9,3,5,15,11,30대,1,4,4,3
12,2,6,15,14,30대,2,4,3,4
14,3,6,22,12,30대,2,4,3,3
9,2,4,22,18,50대,2,2,3,1
11,12,5,15,15,30대,2,4,3,2
12,15,5,14,,30대,1,4,4,3
10,11,2,15,7,30대,2,3,3,3
7,1,5,24,18,50대,2,4,3,5
2,13,2,15,5,30대,2,4,3,3
11,5,4,10,8,40대,2,4,1,3
9,13,2,16,16,40대,1,4,4,3
14,14,4,18,18,20대,2,4,4,2
4,5,5,15,0,30대,1,2,3,3
2,14,2,13,0,30대,2,2,4,2
1,14,5,15,11,40대,1,3,4,3
7,13,4,20,14,30대,1,1,4,2
7,2,6,21,3,30대,2,4,3,4
14,11,4,15,3,40대,2,4,1,7
11,12,5,15,13,30대,2,3,3,4
15,7,2,22,13,40대,1,4,3,4
14,1,4,15,7,20대,1,4,3,3
1,10,6,15,15,30대,1,4,5,2
9,12,5,17,7,20대,2,4,3,3
11,9,2,20,8,40대,1,4,2,3
9,12,5,22,21,20대,1,3,3,2
14,2,3,20,15,60대,1,3,3,6
1,6,3,15,12,20대,1,4,5,2
6,7,6,17,10,50대,1,2,7,3
5,12,5,14,6,30대,1,4,3,4
1,11,2,15,5,60대,2,4,3,2
1,13,4,15,15,30대,1,4,3,4
6,13,2,15,15,50대,2,4,3,3
7,11,2,15,15,20대,2,4,3,2
16,16,4,12,12,40대,2,4,3,2
2,6,4,17,0,20대,1,4,5,3
9,4,5,18,5,30대,1,4,3,4
2,6,6,20,15,40대,2,4,3,4
3,3,5,21,0,30대,1,4,2,3
6,7,6,19,0,40대,1,2,3,4
5,8,2,0,0,50대,2,2,4,3
11,5,3,0,0,30대,2,4,3,2
16,7,5,17,17,30대,2,4,3,2
5,2,2,0,0,20대,1,4,2,3
15,15,2,0,0,40대,2,4,3,3
1,15,6,15,13,50대,2,4,4,5
1,13,6,16,16,30대,1,4,3,2
7,14,2,0,0,40대,2,4,3,3
1,14,4,15,10,20대,2,3,2,2
3,14,6,15,1,30대,1,3,3,4
11,2,3,15,8,30대,1,2,7,3
13,6,5,0,0,30대,1,4,3,3
16,12,6,13,13,40대,1,4,3,3
13,13,6,22,4,40대,1,3,3,3
12,6,2,0,0,40대,1,2,4,4
16,5,4,13,0,20대,1,4,3,2
6,9,2,22,13,30대,2,4,3,3
4,8,2,0,0,30대,1,4,4,3
1,9,6,15,13,40대,2,4,3,4
2,2,3,15,0,20대,1,4,3,3
2,2,6,16,15,30대,1,5,3,3
2,13,6,0,0,30대,1,4,4,3
11,2,5,15,15,40대,2,2,7,4
8,15,6,21,10,40대,1,4,3,4
16,16,3,15,15,50대,1,3,4,3
15,5,3,0,0,40대,2,4,3,2
12,2,4,15,15,30대,2,4,3,3
9,16,2,11,5,20대,2,4,4,3
2,13,6,16,12,30대,1,4,3,3
1,15,4,25,15,50대,2,4,3,4
1,12,2,15,15,30대,2,3,3,3
9,2,2,15,8,40대,1,2,8,4
2,6,5,15,5,20대,2,4,4,2
2,13,4,12,3,60대,1,3,7,3
12,9,3,21,12,30대,2,3,3,2
1,6,2,0,0,30대,1,2,5,4
9,8,3,15,13,30대,2,4,4,4
2,8,2,0,0,50대,2,2,4,3
1,15,3,15,10,30대,1,4,4,2
1,5,6,15,15,30대,2,4,3,2
6,2,3,0,0,40대,1,2,7,2
7,15,2,21,10,30대,2,4,3,3
10,3,2,20,12,30대,1,4,3,3
11,6,2,0,0,20대,1,2,4,2
12,9,3,21,5,30대,2,4,1,3
2,1,3,15,15,30대,2,5,3,3
1,9,4,22,22,40대,2,4,4,4
15,1,5,21,20,30대,2,2,3,3
6,16,6,17,16,30대,1,4,3,3
6,7,6,18,15,60대,1,4,7,4
1,13,2,15,5,30대,2,4,3,2
1,12,3,12,12,30대,1,4,3,3
3,12,4,17,8,30대,2,4,3,3
5,10,2,20,17,20대,1,4,4,2
1,5,3,0,0,40대,1,4,3,4
6,6,4,15,0,20대,2,2,3,3
7,2,6,15,0,30대,2,4,3,4
13,9,2,12,7,20대,1,2,3,3
16,8,2,0,0,40대,2,2,7,3
2,12,2,15,15,20대,2,4,3,3
1,12,3,12,12,20대,2,4,4,2
1,6,5,17,17,30대,2,3,4,3
11,4,5,15,15,20대,2,4,3,2
15,5,3,15,5,30대,2,3,3,3
2,2,3,17,16,20대,1,3,7,2
14,3,3,18,18,40대,1,4,3,5
6,5,4,13,7,20대,2,2,3,2
11,2,3,15,10,30대,2,3,3,3
1,14,4,11,11,30대,2,3,4,2
1,9,6,15,15,30대,2,4,3,3
2,2,6,16,12,20대,2,3,3,2
2,13,4,22,5,30대,1,2,1,4
13,2,3,16,10,30대,1,4,3,4
1,12,6,15,15,20대,2,4,3,2
4,5,3,0,0,30대,2,2,3,3
10,11,2,0,0,30대,2,2,3,3
14,8,2,0,0,30대,2,4,4,3
3,13,2,0,0,40대,2,4,4,3
11,9,3,16,14,40대,2,4,3,3
2,2,4,10,2,30대,2,3,3,2
10,2,6,2,2,20대,2,4,3,3
10,2,6,17,7,30대,1,4,3,4
2,2,4,16,11,30대,1,4,3,2
1,8,3,23,9,30대,2,4,4,4
2,13,6,15,15,30대,2,4,3,3
6,10,3,20,10,30대,2,4,3,3
9,11,3,19,8,30대,2,3,3,2
16,5,3,0,0,50대,2,3,3,4
3,14,6,19,19,30대,1,3,3,4
15,10,2,22,10,40대,1,4,3,5
14,3,6,23,23,30대,1,4,3,6
1,8,6,23,18,20대,1,3,4,2
1,2,3,16,16,20대,2,4,3,2
2,16,4,15,15,40대,2,3,3,3
9,8,5,18,18,40대,1,4,4,3
6,7,6,18,10,40대,1,2,3,4
1,6,6,13,13,20대,1,4,3,3
14,7,4,22,22,20대,2,3,3,2
15,12,2,0,0,30대,2,2,3,2
14,1,5,15,0,40대,2,4,3,3
6,8,2,0,0,40대,2,2,4,3
9,12,2,11,11,20대,1,4,7,2
12,2,3,15,15,40대,2,4,3,5
10,2,6,22,0,40대,1,4,3,4
1,15,2,12,12,30대,1,4,3,4
9,6,5,16,15,20대,2,4,5,2
1,6,4,15,7,20대,1,4,5,3
16,16,3,15,15,40대,2,3,4,3
13,6,5,15,2,30대,2,4,4,3
15,8,3,10,10,20대,2,3,4,3
1,13,3,15,7,20대,2,4,3,3
4,16,3,0,0,60대,1,2,1,3
7,2,6,20,10,30대,1,4,3,4
1,13,4,15,15,30대,2,4,3,3
5,6,3,16,2,40대,1,3,5,4
14,8,4,15,0,20대,1,2,4,2
17,13,4,15,11,30대,2,4,3,3
1,6,3,18,8,40대,1,4,1,4
12,12,4,15,10,30대,2,4,3,3
1,9,4,15,11,20대,2,4,3,3
3,14,2,16,12,40대,2,4,4,3
2,16,2,12,12,20대,2,4,4,3
9,2,2,0,0,40대,1,2,1,5
10,11,3,15,2,40대,2,2,3,2
1,15,4,22,5,30대,2,4,3,3
9,7,4,0,0,30대,1,2,3,2
13,3,2,15,15,50대,1,2,8,4
4,11,2,15,5,40대,2,2,3,2
16,10,2,15,11,20대,1,4,3,2
13,9,6,25,14,40대,1,4,1,5
3,16,4,0,0,20대,2,3,3,2
6,7,6,15,0,50대,1,2,7,3
11,4,5,20,20,30대,1,3,3,2
16,2,2,16,13,30대,2,4,3,3
1,8,6,23,18,40대,2,2,4,3
10,1,6,15,7,30대,2,3,3,3
12,11,6,17,12,50대,2,4,3,5
1,6,6,14,11,40대,2,5,4,5
10,5,6,0,0,30대,2,4,3,3
1,4,3,0,0,20대,1,4,3,3
3,8,3,15,10,20대,2,2,4,2
9,16,3,0,0,30대,2,3,3,2
4,11,4,15,2,30대,2,2,3,2
5,10,6,15,14,50대,2,4,1,5
9,2,5,18,18,30대,2,3,3,3
1,8,6,23,20,40대,1,4,4,4
2,8,6,15,15,50대,1,2,4,4
15,5,3,0,0,40대,1,4,1,5
3,13,3,15,13,30대,1,4,3,3
6,13,3,15,8,20대,1,4,3,4
1,16,5,16,0,30대,2,2,4,3
16,2,2,0,0,30대,2,2,3,2
1,8,2,0,0,60대,2,4,4,3
1,9,4,15,5,30대,2,4,3,4
9,16,2,0,0,50대,2,2,3,2
1,4,3,20,10,30대,1,4,7,4
10,4,2,0,0,30대,2,4,3,2
1,10,3,15,0,60대,1,2,1,3
1,6,2,10,10,30대,2,3,5,3
1,12,3,13,6,20대,1,2,3,3
2,15,3,21,8,40대,2,4,3,4
9,7,2,0,0,60대,1,4,1,2
11,8,3,15,10,30대,2,4,4,2
15,9,2,11,4,20대,2,3,2,2
1,5,3,0,0,30대,2,4,3,2
1,13,6,15,10,20대,2,4,3,2
1,5,6,15,15,30대,2,4,3,2
15,15,4,23,9,30대,2,4,3,4
5,8,3,15,3,50대,1,1,4,3
17,8,4,15,12,20대,2,4,4,2
3,15,2,14,14,20대,1,4,4,2
15,13,6,15,7,20대,2,4,3,2
2,13,6,15,5,30대,2,4,3,3
2,12,2,15,15,20대,2,4,3,3
16,12,3,13,13,30대,2,2,3,2
1,11,2,11,0,40대,2,2,3,2
1,12,5,13,13,30대,2,4,3,3
2,16,6,15,14,30대,1,4,7,4
12,2,6,15,5,30대,1,4,3,4
14,2,2,0,0,60대,1,1,9,3
4,7,3,15,8,40대,1,4,3,3
10,6,3,15,2,30대,2,2,5,3
1,9,6,16,0,30대,1,4,3,3
12,2,6,16,13,30대,2,2,3,2
9,14,4,13,0,30대,2,2,3,3
1,9,3,12,11,20대,2,4,3,2
9,2,5,15,0,40대,1,4,3,5
9,10,3,25,0,50대,1,4,1,5
1,14,3,21,5,30대,2,3,2,3
13,13,6,22,0,40대,1,3,3,4
1,14,6,17,0,20대,2,3,4,3
13,13,4,15,8,20대,2,4,3,2
16,12,6,13,10,30대,2,3,3,5
1,12,6,25,25,40대,1,4,3,3
15,5,4,15,0,30대,2,4,1,4
3,16,3,15,11,30대,2,4,4,3
2,16,3,0,0,40대,1,1,7,4
2,6,2,17,0,20대,1,3,5,3
2,15,5,12,10,30대,2,4,3,6
2,15,2,0,0,30대,2,4,4,3
3,2,5,13,13,30대,1,4,3,3
3,2,2,0,0,20대,2,2,3,2
9,13,4,25,20,40대,1,4,3,6
13,15,3,15,10,30대,2,2,8,3
16,6,3,0,0,40대,2,4,5,5
15,5,3,0,0,40대,2,2,3,3
9,2,5,22,17,40대,1,4,3,5
12,2,6,16,14,50대,1,5,8,5
3,16,3,0,0,30대,2,4,4,3
9,9,4,15,13,40대,1,4,1,5
2,2,6,16,13,40대,1,4,8,5
7,11,2,25,25,30대,2,4,3,3
3,2,4,22,22,30대,2,2,3,3
2,2,4,16,0,40대,2,3,3,3
7,2,6,15,0,20대,1,4,3,4
16,5,3,15,10,30대,1,2,7,3
9,13,2,16,15,20대,2,2,3,2
6,12,3,17,17,30대,2,4,3,3
1,14,2,16,12,20대,2,3,3,2
9,6,4,11,3,20대,2,4,5,2
12,15,6,17,17,40대,1,4,3,4
9,2,2,15,0,20대,2,3,3,2
1,8,3,0,0,60대,2,4,4,3
8,15,6,15,9,20대,2,3,3,3
5,14,2,18,8,40대,1,3,4,3
10,2,6,25,15,30대,1,4,3,4
6,16,4,23,23,30대,2,4,3,3
14,7,2,0,0,40대,2,4,3,4
1,9,4,15,0,30대,1,3,3,3
5,8,2,0,0,20대,1,2,1,3
14,14,4,13,9,40대,1,4,4,4
10,6,4,16,13,40대,2,3,3,3
2,14,3,0,0,20대,2,3,2,2
14,16,2,6,6,30대,2,4,3,2
6,6,4,20,0,20대,2,3,4,5
5,6,3,15,10,30대,1,2,5,3
5,12,6,16,16,20대,2,3,3,2
1,12,3,21,10,40대,1,4,2,6
10,13,3,15,10,60대,1,4,3,4
2,16,2,0,0,50대,2,2,4,2
3,8,3,0,0,40대,2,3,4,3
2,9,3,24,5,40대,1,3,4,4
16,5,6,12,5,40대,2,4,3,2
9,9,2,15,15,50대,1,4,3,4
9,2,5,18,15,30대,1,4,3,3
2,9,2,15,5,40대,1,4,3,4
5,10,2,18,8,40대,2,4,3,2
4,5,5,15,0,40대,1,2,3,3
1,14,4,10,7,30대,2,3,2,2
5,16,2,0,0,20대,2,4,3,2
8,3,6,16,14,50대,2,3,3,4
3,14,6,15,5,30대,2,4,3,3
1,12,3,15,7,40대,2,4,3,4
9,2,3,17,8,50대,2,4,3,3
6,5,5,0,0,20대,2,2,3,2
9,2,4,23,4,40대,1,2,7,3
1,9,5,15,15,40대,2,3,1,4
17,13,3,15,9,30대,1,4,3,5
9,4,2,0,0,40대,1,2,7,3
2,12,2,15,15,40대,2,2,3,2
1,13,5,15,5,20대,2,4,3,2
12,5,2,0,0,50대,1,1,7,3
12,2,4,16,15,40대,1,4,3,4
14,2,5,15,0,30대,2,4,3,2
6,12,6,13,12,20대,1,4,3,3
16,8,2,0,0,20대,2,2,3,3
1,6,2,15,10,20대,1,4,3,3
2,11,2,14,0,30대,2,4,3,3
1,13,6,16,0,30대,1,4,3,2
2,7,4,22,0,40대,1,1,3,3
16,7,5,17,16,40대,1,4,3,3
9,11,2,16,10,30대,2,4,3,3
16,5,6,16,16,30대,1,4,3,2
15,8,2,,,50대,1,5,4,3
1,14,6,17,8,30대,2,4,2,3
2,5,2,0,0,50대,1,2,9,2
2,14,6,16,10,30대,1,4,2,2
1,16,5,15,14,30대,2,4,3,3
1,16,2,0,0,40대,2,4,4,3
5,10,6,15,13,30대,2,4,4,3
12,2,6,7,0,30대,1,4,3,4
12,2,3,12,4,60대,1,2,7,3
6,10,4,20,13,30대,1,4,3,4
14,12,5,14,0,30대,1,2,3,3
1,10,6,15,10,20대,2,2,3,3
1,12,4,12,8,20대,1,4,3,3
1,8,6,23,20,30대,2,4,4,3
14,1,4,15,4,30대,1,4,3,4
12,3,6,21,13,30대,2,4,3,3
5,13,5,15,10,40대,2,4,3,3
4,3,3,23,16,50대,1,4,3,3
5,15,6,12,12,20대,1,4,3,4
1,5,5,16,0,40대,1,4,3,3
13,5,2,25,5,30대,1,3,3,3
11,4,3,14,14,40대,2,4,3,3
1,10,6,16,14,40대,2,4,3,4
10,1,2,12,12,30대,1,4,3,3
1,15,3,22,22,50대,1,5,3,6
7,3,4,18,3,30대,2,4,3,3
7,2,6,21,10,40대,1,4,3,4
9,14,6,15,15,30대,2,4,3,3
3,13,2,0,0,40대,2,3,3,3
10,9,4,12,12,30대,1,4,2,4
15,13,6,15,8,30대,2,4,3,2
3,13,2,0,0,30대,2,4,3,3
4,16,4,18,15,30대,2,3,3,3
1,12,2,20,15,40대,2,4,1,3
1,6,6,14,13,50대,2,4,5,3
10,6,4,16,16,30대,2,4,4,4
2,12,2,13,7,30대,2,4,2,3
14,2,2,15,15,50대,2,2,3,3
10,5,2,0,0,50대,2,4,1,3
10,6,3,20,10,40대,2,2,5,3
2,7,3,25,6,40대,1,4,3,3
2,7,2,0,0,30대,1,4,3,3
9,2,4,0,0,30대,1,3,3,3
3,10,4,23,12,40대,1,4,3,5
2,13,6,18,18,30대,1,4,3,3
10,5,2,0,0,40대,2,4,3,2
6,6,4,12,12,30대,1,3,4,5
9,2,4,22,17,30대,2,4,3,3
9,2,3,0,0,40대,2,4,3,3
6,12,6,15,15,30대,1,4,3,3
5,10,2,10,1,30대,2,3,3,3
1,8,3,15,15,20대,1,3,4,3
11,1,4,15,0,30대,2,3,3,3
2,11,3,16,16,40대,2,4,3,2
7,13,5,15,14,30대,2,3,3,4
12,3,6,21,15,50대,2,4,3,5
1,13,2,15,10,50대,2,4,3,2
6,7,6,16,4,30대,1,2,3,4
10,6,4,16,5,40대,2,4,5,3
10,1,6,25,12,30대,1,3,3,3
6,11,2,25,10,50대,1,5,3,5
9,2,2,15,0,30대,2,3,3,2
9,2,4,13,13,20대,2,4,3,3
16,6,3,0,0,30대,1,4,5,3
6,15,5,16,8,30대,2,4,3,3
4,9,5,22,16,30대,2,3,1,3
1,5,5,12,12,30대,1,4,3,4
13,10,2,21,3,30대,2,4,3,3
9,2,3,15,0,20대,2,4,3,3
16,7,4,15,13,30대,1,4,3,3
12,2,4,16,5,30대,1,4,3,3
15,14,3,17,0,40대,2,4,3,3
3,15,4,22,7,30대,1,4,3,3
1,4,6,14,0,30대,2,4,4,5
16,1,4,13,0,30대,1,3,3,3
15,13,6,13,5,40대,1,4,3,2
8,11,3,15,8,40대,2,3,3,3
5,12,6,16,16,30대,1,4,3,4
5,13,2,15,0,30대,2,4,3,3
2,14,2,13,13,30대,2,2,4,2
3,6,2,25,0,30대,1,3,5,2
16,10,3,16,7,20대,2,4,3,2
7,8,2,0,0,30대,2,2,4,3
12,10,3,25,10,30대,2,4,3,4
15,8,5,25,20,30대,1,4,4,4
1,14,2,12,0,30대,2,4,2,2
1,6,6,14,14,60대,2,3,4,5
5,10,6,17,15,40대,1,4,3,3
4,7,3,15,4,30대,1,4,3,3
8,12,6,11,5,30대,2,4,3,3
1,14,2,15,15,20대,2,3,3,2
1,14,5,15,5,20대,1,4,3,3
12,10,2,18,10,30대,1,4,3,4
2,14,2,0,0,30대,2,3,4,2
1,14,2,0,0,30대,2,4,4,3
1,5,3,13,0,40대,2,4,3,2
6,5,5,0,0,40대,1,3,3,4
2,13,6,15,0,20대,2,4,3,3
1,13,6,15,5,20대,2,4,3,2
7,7,2,7,7,50대,2,4,3,3
5,12,6,16,10,30대,1,3,2,3
1,15,4,12,6,30대,2,4,3,3
9,8,2,0,0,20대,2,3,4,1
13,2,5,18,14,30대,2,4,3,3
4,4,2,12,8,30대,1,4,3,3
12,11,6,15,9,20대,2,4,3,3
1,9,3,20,20,40대,1,4,3,5
15,14,3,12,7,20대,2,3,3,2
1,9,6,20,20,40대,2,4,3,4
15,1,2,24,5,40대,1,4,1,4
9,2,4,0,0,30대,2,2,3,3
11,13,3,15,0,20대,1,4,3,3
9,3,5,15,15,30대,1,4,3,4
5,7,2,25,25,40대,2,2,3,3
9,12,5,22,22,30대,2,4,3,4
9,6,2,13,8,20대,2,4,3,3
13,10,5,20,20,30대,2,3,3,3
1,12,6,20,10,30대,2,4,3,3
2,16,4,13,8,30대,2,4,3,2
13,13,6,11,5,30대,1,4,3,3
8,3,6,15,15,50대,1,4,3,5
1,14,6,15,10,30대,1,4,4,3
13,6,5,15,15,30대,2,4,4,3
1,14,5,11,10,30대,1,3,3,2
1,9,6,15,11,30대,1,4,3,4
14,14,2,12,12,50대,1,4,1,5
7,14,2,0,0,60대,2,4,3,5
14,3,6,22,14,40대,1,4,3,5
5,8,2,24,10,20대,2,3,4,2
15,14,2,0,0,30대,1,4,4,2
2,7,6,19,12,20대,1,4,3,2
5,3,5,15,8,50대,1,4,3,7
3,8,3,0,0,20대,2,3,4,2
13,13,6,15,3,30대,1,4,3,3
10,9,2,18,10,30대,1,4,3,3
9,9,2,16,8,30대,2,3,3,3
1,6,6,14,12,50대,1,3,4,4
16,6,3,16,16,20대,2,3,4,2
6,7,3,15,3,50대,2,4,3,3
1,6,3,15,13,30대,2,4,4,3
6,16,3,0,0,40대,2,2,3,3
1,9,6,15,11,30대,2,4,3,3
6,12,6,5,5,30대,1,4,3,3
1,6,2,0,0,20대,1,2,5,2
3,16,2,25,10,40대,1,4,3,3
14,12,2,0,0,40대,2,2,3,3
5,10,6,15,15,30대,2,3,5,3
2,2,6,11,10,40대,2,2,1,3
2,11,4,15,0,30대,1,2,3,3
9,10,2,6,6,30대,2,4,3,4
15,13,6,15,9,30대,1,4,3,2
